position,skills,experience,company_name,job_locations,education,job_type,workplace,vacancies,salary,posted_date,deadline,source,job_url
DevOps Engineer,AWS; CI CD; Docker; Git and Github; Grafana; Microsoft Azure; Python,"At least 5 years The applicants should have experience in the following business area(s): Banks, Telecommunication, Software Company, IT Enabled Service, Financial Technology (Fintech) Startup",BURO Bangladesh,Dhaka,Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Information Technology Bachelor of Science (BSc) in Electrical & Electronic Engineering Bachelor’s degree (mandatory) in Comp,FullTime,Office,1,Tk. 55000 - 90000 (Monthly),2026-09-14,2026-09-26,bdjobs.com,https://bdjobs.com/h/details/1533258
Front-End Developer,.NET Core; Angular; API Integration; ASP.NET; HTML5 & CSS3; RESTful API; Tailwind CSS,"At least 5 years The applicants should have experience in the following business area(s): Banks, Telecommunication, Software Company, IT Enabled Service, Financial Technology (Fintech) Startup",BURO Bangladesh,Dhaka,Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Information Technology Bachelor of Science (BSc) in Electrical & Electronic Engineering Bachelor’s degree (mandatory) in Comp,FullTime,Office,1,Tk. 55000 - 90000 (Monthly),2026-09-14,2026-09-26,bdjobs.com,https://bdjobs.com/h/details/1533252
Full-Stack Developer,.NET Core; Angular; API Development; Git and Github; Java; RESTful API; SQL,"At least 7 years The applicants should have experience in the following business area(s): Banks, Telecommunication, Software Company, IT Enabled Service, Financial Technology (Fintech) Startup",BURO Bangladesh,Dhaka,Master of Science (MSc) in Computer Science Master of Science (MSc) in Information Technology Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Information Technology Bachelor,FullTime,Office,1,Tk. 75000 - 120000 (Monthly),2026-09-14,2026-09-26,bdjobs.com,https://bdjobs.com/h/details/1533211
Sr. Officer - IT,End User service support; Hardware; Software Troubleshooting; IT Asset Management; IT Infrastructure and Network Implementation; Network Administration; Switches; Routers; Windows Administration; IT hardware and networking knowledge; IT Troubleshooting; LAN; WAN; software support,"3 to 5 years The applicants should have experience in the following business area(s): Group of Companies, Manufacturing (FMCG), Steel, IT Enabled Service",GPH Ispat Limited,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,Office,1,Negotiable,2026-09-14,2026-09-26,bdjobs.com,https://bdjobs.com/h/details/1533300
NOC Engineer - ISP,CCNA (Cisco Certified Network Associate); GPON; JNCIA; MTCNA; optical fiber; Network Troubleshooting; Switching & Routing; Vlan; Mikrotik Administration,2 to 5 years The applicants should have experience in the following business area(s): ISP Freshers are also encouraged to apply.,Fiber Link,"Dhaka, Munshiganj","Diploma in Computer in Computer Science & Engineering, Electrical & Electronic Engineering, Electronics and Telecommunication Engineering, Information Technology Bachelor of Science (BSc) in Computer ",FullTime,Office,2,Negotiable,2026-09-14,2026-10-10,bdjobs.com,https://bdjobs.com/h/details/1532067
Assistant Manager / Deputy Manager - Governance & Cybersecurity,Cyber Security; IT Security; Information Security; IT Audit; Risk Management; CyberSecurity; IT Governance Framework,"At least 5 years The applicants should have experience in the following business area(s): BPO/ Data Entry Firm, IT Enabled Service, Multinational Companies, Software Company",Tekvision (BD) Limited,Chattogram,"Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Computer Science Bachelor's degree in Computer Science, IT, Cybersecurity or a ",FullTime,Office,4,Negotiable,2026-09-14,2026-10-03,bdjobs.com,https://bdjobs.com/h/details/1533290
Interior Designer,Architectural Drafting; Project Management; Interior Design; 3D modelling and Rendering; AutoCAD,NA,Betopia Group,Dhaka (Banasree),,FullTime,Office,4,Negotiable,2026-09-14,2026-10-14,bdjobs.com,https://bdjobs.com/h/details/1533274
Officer (Data Analyst),Data Analytics; Python; Risk Assessment; SQL,At least 2 years The applicants should have experience in the following business area(s): NGO,Centre for Development Innovation & Practices - CDIP,Dhaka,"Bachelor`s/Master`s degree in CSE, Computer Science, Data Science, Statistics, Business Analytics, Mathematics, or a related field.",FullTime,Office,1,Tk. 38000 - 45380 (Monthly),2026-09-14,2026-09-28,bdjobs.com,https://bdjobs.com/h/details/1533066
Odoo ERP Specialist,Corporate IT Support; Database management; End User Support; ERP Implementation; ERP Software; Odoo and Python; Odoo installation; Odoo javascript framework; Software Troubleshooting; Odoo Developer; PostgreSQL,"2 to 4 years The applicants should have experience in the following business area(s): IT Enabled Service, Logistic/Courier/Air Express Companies, Software Company, Telecommunication",VISCO Logistics Bangladesh Ltd.,Dhaka,"Bachelor of Science (BSc) in Computer Engineering, Computer Science, Information Technology",FullTime,Office,1,Negotiable,2026-09-14,2026-10-14,bdjobs.com,https://bdjobs.com/h/details/1532949
Asstt. Manager (Software Developer),Python Django; REST API; MySQL; Coding; Documentation; PostgreSQL; JavaScript,2 to 3 years The applicants should have experience in the following business area(s): Insurance,KARNAPHULI INSURANCE PLC,Dhaka,"Bachelor of Science (BSc) in Computer Science & Engineering, Information Technology Bachelor of Science (BSc) in Computer Science & Engineering from public and private University approved by UGC. Or M",FullTime,,1,Negotiable,2026-09-14,2026-10-10,bdjobs.com,https://bdjobs.com/h/details/1532998
Asstt. Manager (Assistant System Administrator),General Insurance; Hardware & Networking; IT Support Service; Maintenance and Troubleshooting; Network Engineering,2 to 3 years The applicants should have experience in the following business area(s): Insurance,KARNAPHULI INSURANCE PLC,Anywhere in Bangladesh,Bachelor of Science (BSc) in Computer Science & Engineering Diploma in Computer Master of Science (MSc) in Information Technology 3 Years Diploma/Graduation in CSE from Govt. approved any Board/Univer,FullTime,,1,Negotiable,2026-09-14,2026-10-10,bdjobs.com,https://bdjobs.com/h/details/1532986
"Officer, IT",LAN; WAN; Linux; Network Engineering; Security Management; Server Management; Windows; Automation; Cyber Security; IT Security; IT Strategy; IT System Management,"At least 2 years The applicants should have experience in the following business area(s): Group of Companies, Retail Store",Agora Limited,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering CCNA CCNP,FullTime,Office,1,Negotiable,2026-09-14,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1533027
Software Engineers,JavaScript; HTML5 & CSS3; Software Development; Software Implementation; Computer Science; Engineering,"At least 3 years The applicants should have experience in the following business area(s): Development Agency, IT Enabled Service, Software Company",Mars Shipping & Logistics,Dhaka,"Bachelor of Science (BSc) in Computer Science & Engineering B.Sc. in Computer Science & Engineering (CSE), IT, Software Engineering from a Reputed university.",FullTime,Office,1,Negotiable,2026-09-14,2026-10-14,bdjobs.com,https://bdjobs.com/h/details/1533389
SEO Specialist - Team Lead,SEMRUSH; Search Engine Optimization (SEO); keyword research,"3 to 5 years The applicants should have experience in the following business area(s): Chain shop, Direct Selling/Marketing Service Company, E-commerce, Mobile Industry, Retail Store",Gadget & Gear,Dhaka (GULSHAN 1),"Bachelor’s Degree in Marketing, Business, CSE, English, or a relevant discipline.",FullTime,Office,1,Negotiable,2026-09-14,2026-10-14,bdjobs.com,https://bdjobs.com/h/details/1533346
Data Engineer,Accuracy; Data Collection; Data Management; Data processing; ERP Software,1 to 2 years,Silkways Group,Dhaka (Tejgaon Industrial Area),Bachelor in Engineering (BEngg) Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,Office,1,Negotiable,2026-09-13,2026-10-13,bdjobs.com,https://bdjobs.com/h/details/1532823
Creative Content Writer (SEO / AEO - AI Search Optimized Content),Content Development; Content Editing; Content writing; Writing skill; Writing skills in English; keyword research,"1 to 3 years The applicants should have experience in the following business area(s): Business-to-Business (B2B) Software and Services Startup, E-commerce, Software Company, Web Media/Blog Freshers are also encouraged to apply.",Softwix,Dhaka,,FullTime,Office,5,Tk. 15000 - 20000 (Monthly),2026-09-13,2026-09-23,bdjobs.com,https://bdjobs.com/h/details/1532775
